op,det,cob,twofold,axis,sg_number,hm,a,b,c,alpha,beta,gamma
0,1,"(-a,a-c,-b)","-x,-y,z","(0, 0, 1)",3,P2,8.0,11.172,6.0,90.0,90.0,112.29
1,1,"(b+c,-b,a-c)","-x,-2x+y,-z","(0, 1, 0)",3,P2,12.53,6.0,11.172,90.0,130.5,118.61
2,-1,"(b+c,a-c,-b)","-x,-y,-2x+z","(0, 0, 1)",3,P2,12.53,11.172,6.0,90.0,118.61,130.5
3,-1,"(a,-a+c,b)","-x,-y,z","(0, 0, 1)",3,P2,8.0,11.172,6.0,90.0,90.0,112.29
4,1,"(a,b,-a+c)","-x,y,-z","(0, 1, 0)",3,P2,8.0,6.0,11.172,90.0,112.29,90.0
5,-1,"(b+c,-b,-a)","-x,-2x+y,-z","(0, 1, 0)",3,P2,12.53,6.0,8.0,90.0,107.47,118.61
6,1,"(b+c,a-c,-a)","x,2x-y,2x-z","(1, 1, 1)",3,P2,12.53,11.172,8.0,112.29,107.47,130.5
7,1,"(a,-a+c,-b-c)","-x+2z,-y+2z,z","(1, 1, 1)",3,P2,8.0,11.172,12.53,130.5,107.47,112.29
8,-1,"(a,b,-b-c)","-x,y-2z,-z","(0, 1, 0)",3,P2,8.0,6.0,12.53,118.61,107.47,90.0
9,1,"(b+c,-a,-b)","-x,-y,-2x+z","(0, 0, 1)",3,P2,12.53,8.0,6.0,90.0,118.61,107.47
10,-1,"(b+c,-a,a-c)","x,2x-y,2x-z","(1, 1, 1)",3,P2,12.53,8.0,11.172,112.29,130.5,107.47
11,-1,"(a,-b-c,-a+c)","-x+2y,y,2y-z","(1, 1, 1)",3,P2,8.0,12.53,11.172,130.5,112.29,107.47
12,1,"(a,-b-c,b)","-x,-y,-2y+z","(0, 0, 1)",3,P2,8.0,12.53,6.0,118.61,90.0,107.47
13,1,"(-a+c,a,b)","-x,-y,z","(0, 0, 1)",3,P2,11.172,8.0,6.0,90.0,90.0,112.29
14,-1,"(-b,b+c,a-c)","x-2y,-y,-z","(1, 0, 0)",3,P2,6.0,12.53,11.172,130.5,90.0,118.61
15,-1,"(b,a,-a+c)","x,-y,-z","(1, 0, 0)",3,P2,6.0,8.0,11.172,112.29,90.0,90.0
16,1,"(a-c,b+c,-b)","-x,-y,-2y+z","(0, 0, 1)",3,P2,11.172,12.53,6.0,118.61,90.0,130.5
17,-1,"(-a+c,a,-b-c)","-x+2z,-y+2z,z","(1, 1, 1)",3,P2,11.172,8.0,12.53,107.47,130.5,112.29
18,1,"(-b,b+c,-a)","x-2y,-y,-z","(1, 0, 0)",3,P2,6.0,12.53,8.0,107.47,90.0,118.61
19,1,"(b,a,-b-c)","x-2z,-y,-z","(1, 0, 0)",3,P2,6.0,8.0,12.53,107.47,118.61,90.0
20,-1,"(a-c,b+c,-a)","-x+2y,y,2y-z","(1, 1, 1)",3,P2,11.172,12.53,8.0,107.47,112.29,130.5
21,-1,"(-a+c,b,a)","-x,y,-z","(0, 1, 0)",3,P2,11.172,6.0,8.0,90.0,112.29,90.0
22,1,"(b,-a+c,a)","x,-y,-z","(1, 0, 0)",3,P2,6.0,11.172,8.0,112.29,90.0,90.0
23,1,"(-b,a-c,b+c)","x-2z,-y,-z","(1, 0, 0)",3,P2,6.0,11.172,12.53,130.5,118.61,90.0
24,-1,"(a-c,-b,b+c)","-x,y-2z,-z","(0, 1, 0)",3,P2,11.172,6.0,12.53,118.61,130.5,90.0
25,1,"(-a+c,b,-b-c)","-x,y-2z,-z","(0, 1, 0)",3,P2,11.172,6.0,12.53,118.61,130.5,90.0
26,-1,"(b,-a+c,-b-c)","x-2z,-y,-z","(1, 0, 0)",3,P2,6.0,11.172,12.53,130.5,118.61,90.0
27,-1,"(-b,a-c,-a)","x,-y,-z","(1, 0, 0)",3,P2,6.0,11.172,8.0,112.29,90.0,90.0
28,1,"(a-c,-b,-a)","-x,y,-z","(0, 1, 0)",3,P2,11.172,6.0,8.0,90.0,112.29,90.0
29,1,"(-a+c,-b-c,a)","-x+2y,y,2y-z","(1, 1, 1)",3,P2,11.172,12.53,8.0,107.47,112.29,130.5
30,-1,"(-b,-a,b+c)","x-2z,-y,-z","(1, 0, 0)",3,P2,6.0,8.0,12.53,107.47,118.61,90.0
31,-1,"(b,-b-c,a)","x-2y,-y,-z","(1, 0, 0)",3,P2,6.0,12.53,8.0,107.47,90.0,118.61
32,1,"(a-c,-a,b+c)","-x+2z,-y+2z,z","(1, 1, 1)",3,P2,11.172,8.0,12.53,107.47,130.5,112.29
33,-1,"(-a+c,-b-c,b)","-x,-y,-2y+z","(0, 0, 1)",3,P2,11.172,12.53,6.0,118.61,90.0,130.5
34,1,"(-b,-a,a-c)","x,-y,-z","(1, 0, 0)",3,P2,6.0,8.0,11.172,112.29,90.0,90.0
35,1,"(b,-b-c,-a+c)","x-2y,-y,-z","(1, 0, 0)",3,P2,6.0,12.53,11.172,130.5,90.0,118.61
36,-1,"(a-c,-a,-b)","-x,-y,z","(0, 0, 1)",3,P2,11.172,8.0,6.0,90.0,90.0,112.29
