number,hm,system,order,gen_mult,mult_ok,n_rep,n_full,oblique,status
1,P 1,triclinic,1,1,True,0,0,0,ok
2,P -1,triclinic,2,2,True,1,8,0,ok
3,P 1 2 1,monoclinic,2,2,True,1,4,0,ok
4,P 1 21 1,monoclinic,2,2,True,1,4,0,ok
5,C 1 2 1,monoclinic,4,4,True,3,8,0,ok
6,P 1 m 1,monoclinic,2,2,True,1,2,0,ok
7,P 1 c 1,monoclinic,2,2,True,1,2,0,ok
8,C 1 m 1,monoclinic,4,4,True,3,4,0,ok
9,C 1 c 1,monoclinic,4,4,True,3,4,0,ok
10,P 1 2/m 1,monoclinic,4,4,True,3,14,0,ok
11,P 1 21/m 1,monoclinic,4,4,True,3,14,0,ok
12,C 1 2/m 1,monoclinic,8,8,True,7,28,0,ok
13,P 1 2/c 1,monoclinic,4,4,True,3,14,0,ok
14,P 1 21/c 1,monoclinic,4,4,True,3,14,0,ok
15,C 1 2/c 1,monoclinic,8,8,True,7,28,0,ok
16,P 2 2 2,orthorhombic,4,4,True,3,12,0,ok
17,P 2 2 21,orthorhombic,4,4,True,3,12,0,ok
18,P 21 21 2,orthorhombic,4,4,True,3,12,0,ok
19,P 21 21 21,orthorhombic,4,4,True,3,12,0,ok
20,C 2 2 21,orthorhombic,8,8,True,7,24,0,ok
21,C 2 2 2,orthorhombic,8,8,True,7,24,0,ok
22,F 2 2 2,orthorhombic,16,16,True,15,48,0,ok
23,I 2 2 2,orthorhombic,8,8,True,7,24,0,ok
24,I 21 21 21,orthorhombic,8,8,True,7,24,0,ok
25,P m m 2,orthorhombic,4,4,True,3,8,0,ok
26,P m c 21,orthorhombic,4,4,True,3,8,0,ok
27,P c c 2,orthorhombic,4,4,True,3,8,0,ok
28,P m a 2,orthorhombic,4,4,True,3,8,0,ok
29,P c a 21,orthorhombic,4,4,True,3,8,0,ok
30,P n c 2,orthorhombic,4,4,True,3,8,0,ok
31,P m n 21,orthorhombic,4,4,True,3,8,0,ok
32,P b a 2,orthorhombic,4,4,True,3,8,0,ok
33,P n a 21,orthorhombic,4,4,True,3,8,0,ok
34,P n n 2,orthorhombic,4,4,True,3,8,0,ok
35,C m m 2,orthorhombic,8,8,True,7,16,0,ok
36,C m c 21,orthorhombic,8,8,True,7,16,0,ok
37,C c c 2,orthorhombic,8,8,True,7,16,0,ok
38,A m m 2,orthorhombic,8,8,True,7,16,0,ok
39,A b m 2,orthorhombic,8,8,True,7,16,0,ok
40,A m a 2,orthorhombic,8,8,True,7,16,0,ok
41,A b a 2,orthorhombic,8,8,True,7,16,0,ok
42,F m m 2,orthorhombic,16,16,True,15,32,0,ok
43,F d d 2,orthorhombic,16,16,True,15,24,0,ok
44,I m m 2,orthorhombic,8,8,True,7,16,0,ok
45,I b a 2,orthorhombic,8,8,True,7,16,0,ok
